FormName,FormFreq,Username,The people I work with have excellent knowledge of autism,"I feel that if a new person was to join the team and they disclosed they were autistic, they would be well supported and understood by others",I feel that the management of the team are constantly improving their knowledge about autism,It is easy to find information within the organisation about supporting autistic employees,There are established pathways for autistic people to seek advice and support for managing their daily work activities,The organisation has been proactive in making adjustments and providing autism awareness training for employees,I think the organisation performs better than other organisations in the sector in terms of quality of support for autistic employees,Date,ID,Average
Autistica - Organisational Culture,30,62929404,1,1,4,1,1,4,1,30/02/2019,569,1.85714285714286
Autistica - Organisational Culture,30,30901982,1,1,1,1,1,4,4,30/02/2019,570,1.85714285714286
Autistica - Organisational Culture,30,93085379,2,1,1,4,1,1,4,30/02/2019,571,2
Autistica - Organisational Culture,30,77431644,1,4,1,1,4,4,1,30/02/2019,572,2.28571428571429
Autistica - Organisational Culture,30,67013133,1,1,4,1,4,4,1,30/02/2019,573,2.28571428571429
Autistica - Organisational Culture,30,13838301,4,1,4,1,4,1,4,30/02/2019,574,2.71428571428571
Autistica - Organisational Culture,30,66718298,1,1,1,4,1,1,4,30/02/2019,575,1.85714285714286
Autistica - Organisational Culture,30,24641611,2,1,1,1,4,4,4,30/02/2019,576,2.42857142857143
Autistica - Organisational Culture,30,67388864,1,4,1,1,1,4,4,30/02/2019,577,2.28571428571429
Autistica - Organisational Culture,30,25055544,4,1,4,1,1,4,4,30/02/2019,578,2.71428571428571
Autistica - Organisational Culture,30,24503298,1,1,1,1,1,4,1,30/02/2019,579,1.42857142857143
Autistica - Organisational Culture,30,43928283,2,4,4,4,1,1,1,30/02/2019,580,2.42857142857143
Autistica - Organisational Culture,30,19630284,1,1,1,1,1,1,1,30/02/2019,581,1
Autistica - Organisational Culture,30,87042105,2,1,1,4,4,4,1,30/02/2019,582,2.42857142857143
Autistica - Organisational Culture,30,71593024,2,4,4,1,1,4,4,30/02/2019,583,2.85714285714286
Autistica - Organisational Culture,30,31866214,1,1,4,1,4,4,1,30/02/2019,584,2.28571428571429
Autistica - Organisational Culture,30,97162166,1,1,1,4,4,4,1,30/02/2019,585,2.28571428571429
Autistica - Organisational Culture,30,41273901,2,4,4,4,1,1,4,30/02/2019,586,2.85714285714286
Autistica - Organisational Culture,30,43440948,2,4,1,4,1,1,4,30/02/2019,587,2.42857142857143
Autistica - Organisational Culture,30,77705205,2,1,1,4,4,4,4,30/02/2019,588,2.85714285714286
Autistica - Organisational Culture,30,58358243,1,1,4,4,4,1,4,30/02/2019,589,2.71428571428571
Autistica - Organisational Culture,30,47815963,1,4,1,4,1,4,4,30/02/2019,590,2.71428571428571
Autistica - Organisational Culture,30,69828639,4,4,1,1,1,1,1,30/02/2019,591,1.85714285714286
Autistica - Organisational Culture,30,38868666,1,1,1,4,1,4,4,30/02/2019,592,2.28571428571429
Autistica - Organisational Culture,30,72888018,2,4,4,4,4,1,1,30/02/2019,593,2.85714285714286
Autistica - Organisational Culture,30,43522829,2,1,4,1,1,4,1,30/02/2019,594,2
Autistica - Organisational Culture,30,41811454,1,1,1,4,1,4,4,30/02/2019,595,2.28571428571429
Autistica - Organisational Culture,30,40690745,1,1,1,4,1,4,4,30/02/2019,596,2.28571428571429
Autistica - Organisational Culture,30,25057429,4,4,1,1,1,1,4,30/02/2019,597,2.28571428571429
Autistica - Organisational Culture,30,39249976,1,1,4,1,1,4,1,30/02/2019,598,1.85714285714286
Autistica - Organisational Culture,30,63410382,2,4,4,4,4,1,1,30/02/2019,599,2.85714285714286
Autistica - Organisational Culture,30,61657100,1,4,1,1,1,1,4,30/02/2019,600,1.85714285714286
Autistica - Organisational Culture,30,22222222,1,1,1,4,4,1,1,4/14/19,601,1.85714285714286
Autistica - Organisational Culture,30,11111111,4,4,1,1,4,1,1,4/14/19,602,2.28571428571429
Autistica - Organisational Culture,30,12077101,4,4,1,4,4,1,1,4/14/19,603,2.71428571428571
Autistica - Organisational Culture,30,38961843,1,1,1,1,4,1,1,4/14/19,604,1.42857142857143
Autistica - Organisational Culture,30,67611589,4,1,4,1,4,4,1,4/14/19,605,2.71428571428571
Autistica - Organisational Culture,30,32500162,4,4,1,4,1,1,1,4/14/19,606,2.28571428571429
Autistica - Organisational Culture,30,90705766,2,1,1,4,1,1,1,4/14/19,607,1.57142857142857
Autistica - Organisational Culture,30,46465154,2,4,4,4,4,1,4,4/14/19,608,3.28571428571429
Autistica - Organisational Culture,30,36480781,4,1,1,4,1,1,4,4/14/19,609,2.28571428571429
Autistica - Organisational Culture,30,86004302,1,1,1,4,1,4,4,4/14/19,610,2.28571428571429
Autistica - Organisational Culture,30,74046800,2,4,1,1,4,4,1,4/14/19,611,2.42857142857143
Autistica - Organisational Culture,30,67512682,2,4,4,4,4,1,4,4/14/19,612,3.28571428571429
Autistica - Organisational Culture,30,87436666,4,1,1,4,4,4,1,4/14/19,613,2.71428571428571
Autistica - Organisational Culture,30,28755653,4,1,4,1,4,1,1,4/14/19,614,2.28571428571429
Autistica - Organisational Culture,30,66722819,2,1,1,1,4,4,1,4/14/19,615,2
Autistica - Organisational Culture,30,65438804,4,4,1,4,4,4,1,4/14/19,616,3.14285714285714
Autistica - Organisational Culture,30,15938146,1,4,1,1,1,1,4,4/14/19,617,1.85714285714286
Autistica - Organisational Culture,30,37603401,1,4,4,4,4,1,4,4/14/19,618,3.14285714285714
Autistica - Organisational Culture,30,23337145,1,1,4,4,4,1,1,4/14/19,619,2.28571428571429
Autistica - Organisational Culture,30,99599196,4,1,4,4,1,4,4,4/14/19,620,3.14285714285714
Autistica - Organisational Culture,30,25718877,1,1,4,1,1,4,4,4/14/19,621,2.28571428571429
Autistica - Organisational Culture,30,97909632,1,4,1,4,1,4,1,4/14/19,622,2.28571428571429
Autistica - Organisational Culture,30,40268226,1,1,4,1,4,1,1,4/14/19,623,1.85714285714286
Autistica - Organisational Culture,30,63985686,4,1,4,1,4,4,4,4/14/19,624,3.14285714285714
Autistica - Organisational Culture,30,63237915,1,4,4,4,4,4,1,4/14/19,625,3.14285714285714
Autistica - Organisational Culture,30,50544037,1,4,4,4,1,4,1,4/14/19,626,2.71428571428571
Autistica - Organisational Culture,30,14286843,1,4,1,4,1,1,4,4/14/19,627,2.28571428571429
Autistica - Organisational Culture,30,53175760,1,1,1,1,4,4,1,4/14/19,628,1.85714285714286
Autistica - Organisational Culture,30,56361261,2,4,4,4,1,4,4,4/14/19,629,3.28571428571429
Autistica - Organisational Culture,30,66411825,4,1,4,4,1,1,4,4/14/19,630,2.71428571428571
Autistica - Organisational Culture,30,34060153,1,4,4,4,1,4,4,4/14/19,631,3.14285714285714
Autistica - Organisational Culture,30,11168511,1,1,4,1,4,1,4,4/14/19,632,2.28571428571429
Autistica - Organisational Culture,30,85920205,1,1,1,4,1,4,4,4/14/19,633,2.28571428571429
Autistica - Organisational Culture,30,83766303,2,4,4,1,1,4,4,4/14/19,634,2.85714285714286
Autistica - Organisational Culture,30,64793738,1,1,4,4,4,4,1,4/14/19,635,2.71428571428571
Autistica - Organisational Culture,30,59096037,2,1,4,4,1,4,4,4/14/19,636,2.85714285714286
Autistica - Organisational Culture,30,77773077,4,1,1,4,1,4,4,4/14/19,637,2.71428571428571
Autistica - Organisational Culture,30,47375033,4,1,4,4,1,4,1,4/14/19,638,2.71428571428571
Autistica - Organisational Culture,30,39847852,2,4,4,1,4,4,4,4/14/19,639,3.28571428571429
Autistica - Organisational Culture,30,68971632,4,4,4,4,4,1,1,4/14/19,640,3.14285714285714
Autistica - Organisational Culture,30,22090963,1,1,4,1,1,1,4,4/14/19,641,1.85714285714286
Autistica - Organisational Culture,30,60377624,4,4,4,1,4,1,4,4/14/19,642,3.14285714285714
Autistica - Organisational Culture,30,30738880,1,1,1,1,1,4,1,4/14/19,643,1.42857142857143
Autistica - Organisational Culture,30,86589369,2,4,4,1,1,1,4,4/14/19,644,2.42857142857143
Autistica - Organisational Culture,30,66155821,1,4,4,4,4,1,1,4/14/19,645,2.71428571428571
Autistica - Organisational Culture,30,61677296,1,4,4,1,1,1,4,4/14/19,646,2.28571428571429
Autistica - Organisational Culture,30,56419454,1,4,1,1,1,1,4,4/14/19,647,1.85714285714286
Autistica - Organisational Culture,30,86397034,2,1,1,1,4,4,1,4/14/19,648,2
Autistica - Organisational Culture,30,41455969,1,4,4,1,1,1,4,4/14/19,649,2.28571428571429
Autistica - Organisational Culture,30,23394144,1,1,1,4,4,4,1,4/14/19,650,2.28571428571429
Autistica - Organisational Culture,30,21326904,1,1,1,1,1,4,4,4/14/19,651,1.85714285714286
Autistica - Organisational Culture,30,44980497,1,4,1,4,1,4,4,4/14/19,652,2.71428571428571
Autistica - Organisational Culture,30,38982647,4,4,4,4,4,4,1,4/14/19,653,3.57142857142857
Autistica - Organisational Culture,30,80484260,2,1,1,1,1,4,1,4/14/19,654,1.57142857142857
Autistica - Organisational Culture,30,24052776,1,1,4,4,1,1,1,4/14/19,655,1.85714285714286
Autistica - Organisational Culture,30,70538701,4,4,4,1,4,1,4,4/14/19,656,3.14285714285714
Autistica - Organisational Culture,30,89804580,4,4,4,4,1,1,4,4/14/19,657,3.14285714285714
Autistica - Organisational Culture,30,17191527,1,1,4,4,1,4,1,4/14/19,658,2.28571428571429
Autistica - Organisational Culture,30,12248148,1,1,1,4,1,4,1,4/14/19,659,1.85714285714286
Autistica - Organisational Culture,30,14567809,4,1,1,1,4,1,1,4/14/19,660,1.85714285714286
Autistica - Organisational Culture,30,53779464,2,1,4,1,1,1,1,4/14/19,661,1.57142857142857
Autistica - Organisational Culture,30,97777931,2,4,1,1,4,4,1,4/14/19,662,2.42857142857143
Autistica - Organisational Culture,30,99713717,2,4,1,4,4,4,4,4/14/19,663,3.28571428571429
Autistica - Organisational Culture,30,93466703,4,1,4,1,4,4,1,4/14/19,664,2.71428571428571
Autistica - Organisational Culture,30,37419497,1,4,4,1,1,4,1,4/14/19,665,2.28571428571429
Autistica - Organisational Culture,30,35358065,1,4,1,1,4,1,4,4/14/19,666,2.28571428571429
Autistica - Organisational Culture,30,86131995,2,1,1,4,1,4,4,4/14/19,667,2.42857142857143
Autistica - Organisational Culture,30,57180656,2,1,4,4,4,4,4,4/14/19,668,3.28571428571429
Autistica - Organisational Culture,30,62929404,2,4,1,1,1,1,4,4/14/19,669,2
Autistica - Organisational Culture,30,30901982,1,1,4,4,1,1,4,4/14/19,670,2.28571428571429
Autistica - Organisational Culture,30,93085379,4,4,1,1,1,4,4,4/14/19,671,2.71428571428571
Autistica - Organisational Culture,30,77431644,4,4,4,1,4,1,4,4/14/19,672,3.14285714285714
Autistica - Organisational Culture,30,67013133,2,1,1,1,4,4,1,4/14/19,673,2
Autistica - Organisational Culture,30,13838301,2,4,1,4,1,1,4,4/14/19,674,2.42857142857143
Autistica - Organisational Culture,30,66718298,2,4,4,4,4,4,1,4/14/19,675,3.28571428571429
Autistica - Organisational Culture,30,24641611,2,4,1,1,4,4,4,4/14/19,676,2.85714285714286
Autistica - Organisational Culture,30,67388864,4,4,1,4,4,4,1,4/14/19,677,3.14285714285714
Autistica - Organisational Culture,30,25055544,1,4,4,4,4,1,1,4/14/19,678,2.71428571428571
Autistica - Organisational Culture,30,24503298,1,4,1,1,4,1,4,4/14/19,679,2.28571428571429
Autistica - Organisational Culture,30,43928283,4,1,4,4,4,4,4,4/14/19,680,3.57142857142857
Autistica - Organisational Culture,30,19630284,1,1,1,1,4,1,4,4/14/19,681,1.85714285714286
Autistica - Organisational Culture,30,87042105,4,1,4,4,1,1,1,4/14/19,682,2.28571428571429
Autistica - Organisational Culture,30,71593024,1,4,4,4,4,4,1,4/14/19,683,3.14285714285714
Autistica - Organisational Culture,30,31866214,1,1,1,1,4,4,4,4/14/19,684,2.28571428571429
Autistica - Organisational Culture,30,97162166,1,4,4,1,1,4,1,4/14/19,685,2.28571428571429
Autistica - Organisational Culture,30,41273901,1,4,1,1,4,4,4,4/14/19,686,2.71428571428571
Autistica - Organisational Culture,30,43440948,1,4,4,1,1,4,4,4/14/19,687,2.71428571428571
Autistica - Organisational Culture,30,77705205,2,1,4,1,1,1,4,4/14/19,688,2
Autistica - Organisational Culture,30,58358243,2,4,1,4,4,1,4,4/14/19,689,2.85714285714286
Autistica - Organisational Culture,30,47815963,1,4,4,1,4,1,4,4/14/19,690,2.71428571428571
Autistica - Organisational Culture,30,69828639,2,4,1,4,4,4,1,4/14/19,691,2.85714285714286
Autistica - Organisational Culture,30,38868666,1,4,1,1,1,1,4,4/14/19,692,1.85714285714286
Autistica - Organisational Culture,30,72888018,2,4,4,4,1,1,1,4/14/19,693,2.42857142857143
Autistica - Organisational Culture,30,43522829,1,4,4,4,4,4,1,4/14/19,694,3.14285714285714
Autistica - Organisational Culture,30,41811454,4,4,1,4,4,1,4,4/14/19,695,3.14285714285714
Autistica - Organisational Culture,30,40690745,1,1,4,4,4,4,1,4/14/19,696,2.71428571428571
Autistica - Organisational Culture,30,25057429,2,1,4,1,4,1,4,4/14/19,697,2.42857142857143
Autistica - Organisational Culture,30,39249976,4,1,4,1,4,1,1,4/14/19,698,2.28571428571429
Autistica - Organisational Culture,30,63410382,1,1,1,1,1,1,1,4/14/19,699,1
Autistica - Organisational Culture,30,61657100,4,1,4,4,1,4,4,4/14/19,700,3.14285714285714
Autistica - Organisational Culture,30,22222222,4,4,1,1,1,4,4,4/30/19,701,2.71428571428571
Autistica - Organisational Culture,30,11111111,4,4,4,4,1,1,4,4/30/19,702,3.14285714285714
Autistica - Organisational Culture,30,12077101,1,4,1,1,4,1,4,4/30/19,703,2.28571428571429
Autistica - Organisational Culture,30,38961843,1,4,4,4,1,4,4,4/30/19,704,3.14285714285714
Autistica - Organisational Culture,30,67611589,1,1,1,4,1,4,1,4/30/19,705,1.85714285714286
Autistica - Organisational Culture,30,32500162,2,4,4,1,4,4,4,4/30/19,706,3.28571428571429
Autistica - Organisational Culture,30,90705766,1,1,1,1,1,1,4,4/30/19,707,1.42857142857143
Autistica - Organisational Culture,30,46465154,4,4,1,1,1,4,4,4/30/19,708,2.71428571428571
Autistica - Organisational Culture,30,36480781,2,4,4,1,1,4,4,4/30/19,709,2.85714285714286
Autistica - Organisational Culture,30,86004302,1,4,4,1,1,4,1,4/30/19,710,2.28571428571429
Autistica - Organisational Culture,30,74046800,1,4,4,4,1,4,4,4/30/19,711,3.14285714285714
Autistica - Organisational Culture,30,67512682,4,1,4,1,1,4,4,4/30/19,712,2.71428571428571
Autistica - Organisational Culture,30,87436666,1,1,1,1,1,4,1,4/30/19,713,1.42857142857143
Autistica - Organisational Culture,30,28755653,4,4,1,1,1,4,4,4/30/19,714,2.71428571428571
Autistica - Organisational Culture,30,66722819,1,4,1,4,4,1,4,4/30/19,715,2.71428571428571
Autistica - Organisational Culture,30,65438804,1,1,4,1,1,1,1,4/30/19,716,1.42857142857143
Autistica - Organisational Culture,30,15938146,4,4,4,4,4,4,1,4/30/19,717,3.57142857142857
Autistica - Organisational Culture,30,37603401,2,4,4,1,1,1,4,4/30/19,718,2.42857142857143
Autistica - Organisational Culture,30,23337145,1,4,1,1,4,4,1,4/30/19,719,2.28571428571429
Autistica - Organisational Culture,30,99599196,4,4,1,1,1,1,1,4/30/19,720,1.85714285714286
Autistica - Organisational Culture,30,25718877,1,1,4,1,1,1,1,4/30/19,721,1.42857142857143
Autistica - Organisational Culture,30,97909632,2,4,1,1,1,1,1,4/30/19,722,1.57142857142857
Autistica - Organisational Culture,30,40268226,1,1,4,1,4,4,1,4/30/19,723,2.28571428571429
Autistica - Organisational Culture,30,63985686,1,4,4,1,1,4,1,4/30/19,724,2.28571428571429
Autistica - Organisational Culture,30,63237915,2,4,4,4,1,1,1,4/30/19,725,2.42857142857143
Autistica - Organisational Culture,30,50544037,2,1,1,4,4,1,4,4/30/19,726,2.42857142857143
Autistica - Organisational Culture,30,14286843,2,1,1,1,4,1,4,4/30/19,727,2
Autistica - Organisational Culture,30,53175760,2,1,1,4,1,1,1,4/30/19,728,1.57142857142857
Autistica - Organisational Culture,30,56361261,1,4,4,4,1,1,1,4/30/19,729,2.28571428571429
Autistica - Organisational Culture,30,66411825,1,1,4,1,1,4,1,4/30/19,730,1.85714285714286
Autistica - Organisational Culture,30,34060153,2,1,4,4,1,1,4,4/30/19,731,2.42857142857143
Autistica - Organisational Culture,30,11168511,1,4,4,1,4,4,4,4/30/19,732,3.14285714285714
Autistica - Organisational Culture,30,85920205,1,1,1,4,1,1,1,4/30/19,733,1.42857142857143
Autistica - Organisational Culture,30,83766303,1,1,1,4,4,1,1,4/30/19,734,1.85714285714286
Autistica - Organisational Culture,30,64793738,1,4,1,1,1,1,4,4/30/19,735,1.85714285714286
Autistica - Organisational Culture,30,59096037,1,1,1,4,1,4,4,4/30/19,736,2.28571428571429
Autistica - Organisational Culture,30,77773077,4,4,1,4,4,1,1,4/30/19,737,2.71428571428571
Autistica - Organisational Culture,30,47375033,2,1,1,1,1,4,1,4/30/19,738,1.57142857142857
Autistica - Organisational Culture,30,39847852,4,1,1,1,4,1,4,4/30/19,739,2.28571428571429
Autistica - Organisational Culture,30,68971632,4,4,4,4,4,1,4,4/30/19,740,3.57142857142857
Autistica - Organisational Culture,30,22090963,1,1,1,4,4,4,4,4/30/19,741,2.71428571428571
Autistica - Organisational Culture,30,60377624,1,4,1,4,1,4,1,4/30/19,742,2.28571428571429
Autistica - Organisational Culture,30,30738880,1,4,4,1,4,1,4,4/30/19,743,2.71428571428571
Autistica - Organisational Culture,30,86589369,1,4,1,4,4,4,1,4/30/19,744,2.71428571428571
Autistica - Organisational Culture,30,66155821,1,4,1,1,4,4,4,4/30/19,745,2.71428571428571
Autistica - Organisational Culture,30,61677296,2,1,4,4,4,1,4,4/30/19,746,2.85714285714286
Autistica - Organisational Culture,30,56419454,1,4,4,1,1,1,1,4/30/19,747,1.85714285714286
Autistica - Organisational Culture,30,86397034,1,1,1,1,4,4,4,4/30/19,748,2.28571428571429
Autistica - Organisational Culture,30,41455969,1,4,4,1,4,1,4,4/30/19,749,2.71428571428571
Autistica - Organisational Culture,30,23394144,2,1,1,4,4,1,1,4/30/19,750,2
Autistica - Organisational Culture,30,21326904,2,4,1,4,1,4,1,4/30/19,751,2.42857142857143
Autistica - Organisational Culture,30,44980497,1,1,4,4,4,4,1,4/30/19,752,2.71428571428571
Autistica - Organisational Culture,30,38982647,1,4,1,4,1,1,4,4/30/19,753,2.28571428571429
Autistica - Organisational Culture,30,80484260,1,4,4,1,1,4,4,4/30/19,754,2.71428571428571
Autistica - Organisational Culture,30,24052776,1,4,1,1,1,1,1,4/30/19,755,1.42857142857143
Autistica - Organisational Culture,30,70538701,2,1,1,4,1,1,1,4/30/19,756,1.57142857142857
Autistica - Organisational Culture,30,89804580,1,1,1,1,1,4,4,4/30/19,757,1.85714285714286
Autistica - Organisational Culture,30,17191527,1,1,4,1,1,1,4,4/30/19,758,1.85714285714286
Autistica - Organisational Culture,30,12248148,4,4,1,1,4,4,4,4/30/19,759,3.14285714285714
Autistica - Organisational Culture,30,14567809,4,1,1,1,1,4,4,4/30/19,760,2.28571428571429
Autistica - Organisational Culture,30,53779464,2,4,1,4,1,1,4,4/30/19,761,2.42857142857143
Autistica - Organisational Culture,30,97777931,4,1,4,4,4,4,4,4/30/19,762,3.57142857142857
Autistica - Organisational Culture,30,99713717,2,1,1,4,1,4,1,4/30/19,763,2
Autistica - Organisational Culture,30,93466703,4,4,1,4,4,4,4,4/30/19,764,3.57142857142857
Autistica - Organisational Culture,30,37419497,1,4,1,4,1,1,1,4/30/19,765,1.85714285714286
Autistica - Organisational Culture,30,35358065,1,1,4,4,1,1,1,4/30/19,766,1.85714285714286
Autistica - Organisational Culture,30,86131995,2,1,4,1,4,1,1,4/30/19,767,2
Autistica - Organisational Culture,30,57180656,4,1,1,1,4,1,1,4/30/19,768,1.85714285714286
Autistica - Organisational Culture,30,62929404,4,4,1,1,4,1,4,4/30/19,769,2.71428571428571
Autistica - Organisational Culture,30,30901982,4,4,4,4,1,4,4,4/30/19,770,3.57142857142857
Autistica - Organisational Culture,30,93085379,2,4,4,4,1,4,1,4/30/19,771,2.85714285714286
Autistica - Organisational Culture,30,77431644,2,4,1,4,4,1,1,4/30/19,772,2.42857142857143
Autistica - Organisational Culture,30,67013133,1,4,4,1,1,1,4,4/30/19,773,2.28571428571429
Autistica - Organisational Culture,30,13838301,2,4,4,4,1,1,1,4/30/19,774,2.42857142857143
Autistica - Organisational Culture,30,66718298,1,1,4,1,4,1,1,4/30/19,775,1.85714285714286
Autistica - Organisational Culture,30,24641611,2,4,4,4,1,4,1,4/30/19,776,2.85714285714286
Autistica - Organisational Culture,30,67388864,2,1,1,1,4,4,4,4/30/19,777,2.42857142857143
Autistica - Organisational Culture,30,25055544,1,4,4,1,1,4,4,4/30/19,778,2.71428571428571
Autistica - Organisational Culture,30,24503298,2,1,4,1,4,1,1,4/30/19,779,2
Autistica - Organisational Culture,30,43928283,1,1,4,1,1,4,1,4/30/19,780,1.85714285714286
Autistica - Organisational Culture,30,19630284,2,4,4,4,4,4,1,4/30/19,781,3.28571428571429
Autistica - Organisational Culture,30,87042105,1,4,1,1,1,1,1,4/30/19,782,1.42857142857143
Autistica - Organisational Culture,30,71593024,1,4,4,1,1,1,1,4/30/19,783,1.85714285714286
Autistica - Organisational Culture,30,31866214,1,1,4,1,1,4,4,4/30/19,784,2.28571428571429
Autistica - Organisational Culture,30,97162166,1,4,4,4,1,4,4,4/30/19,785,3.14285714285714
Autistica - Organisational Culture,30,41273901,1,1,1,4,4,1,4,4/30/19,786,2.28571428571429
Autistica - Organisational Culture,30,43440948,1,4,1,4,1,1,1,4/30/19,787,1.85714285714286
Autistica - Organisational Culture,30,77705205,1,4,1,1,1,4,1,4/30/19,788,1.85714285714286
Autistica - Organisational Culture,30,58358243,2,4,1,4,1,1,1,4/30/19,789,2
Autistica - Organisational Culture,30,47815963,4,4,1,1,1,1,4,4/30/19,790,2.28571428571429
Autistica - Organisational Culture,30,69828639,1,4,4,1,4,4,1,4/30/19,791,2.71428571428571
Autistica - Organisational Culture,30,38868666,1,4,1,1,1,1,4,4/30/19,792,1.85714285714286
Autistica - Organisational Culture,30,72888018,1,1,1,1,1,4,1,4/30/19,793,1.42857142857143
Autistica - Organisational Culture,30,43522829,1,1,4,4,4,1,4,4/30/19,794,2.71428571428571
Autistica - Organisational Culture,30,41811454,1,4,1,4,1,1,1,4/30/19,795,1.85714285714286
Autistica - Organisational Culture,30,40690745,2,4,1,1,1,1,1,4/30/19,796,1.57142857142857
Autistica - Organisational Culture,30,25057429,2,1,1,4,4,1,4,4/30/19,797,2.42857142857143
Autistica - Organisational Culture,30,39249976,2,1,4,4,1,1,1,4/30/19,798,2
Autistica - Organisational Culture,30,63410382,1,4,1,1,4,4,1,4/30/19,799,2.28571428571429
Autistica - Organisational Culture,30,61657100,4,4,1,4,4,1,4,4/30/19,800,3.14285714285714
Autistica - Organisational Culture,30,22222222,4,1,1,1,4,1,4,5/1/19,801,2.28571428571429
Autistica - Organisational Culture,30,11111111,1,1,4,4,4,1,1,5/1/19,802,2.28571428571429
Autistica - Organisational Culture,30,12077101,4,1,1,4,1,4,4,5/1/19,803,2.71428571428571
Autistica - Organisational Culture,30,38961843,4,4,1,1,4,1,4,5/1/19,804,2.71428571428571
Autistica - Organisational Culture,30,67611589,4,1,4,4,1,1,1,5/1/19,805,2.28571428571429
Autistica - Organisational Culture,30,32500162,1,1,1,4,1,4,1,5/1/19,806,1.85714285714286
Autistica - Organisational Culture,30,90705766,2,4,4,1,1,1,4,5/1/19,807,2.42857142857143
Autistica - Organisational Culture,30,46465154,1,4,4,1,1,4,1,5/1/19,808,2.28571428571429
Autistica - Organisational Culture,30,36480781,2,4,1,1,4,4,1,5/1/19,809,2.42857142857143
Autistica - Organisational Culture,30,86004302,4,1,1,1,4,1,1,5/1/19,810,1.85714285714286
Autistica - Organisational Culture,30,74046800,2,4,1,1,4,1,4,5/1/19,811,2.42857142857143
Autistica - Organisational Culture,30,67512682,4,1,1,1,1,4,1,5/1/19,812,1.85714285714286
Autistica - Organisational Culture,30,87436666,1,4,1,4,1,4,4,5/1/19,813,2.71428571428571
Autistica - Organisational Culture,30,28755653,2,4,4,4,1,4,4,5/1/19,814,3.28571428571429
Autistica - Organisational Culture,30,66722819,2,1,4,1,1,4,1,5/1/19,815,2
Autistica - Organisational Culture,30,65438804,1,1,4,1,1,1,1,5/1/19,816,1.42857142857143
Autistica - Organisational Culture,30,15938146,1,4,4,4,1,1,1,5/1/19,817,2.28571428571429
Autistica - Organisational Culture,30,37603401,2,1,4,1,4,4,1,5/1/19,818,2.42857142857143
Autistica - Organisational Culture,30,23337145,4,4,1,4,4,1,4,5/1/19,819,3.14285714285714
Autistica - Organisational Culture,30,99599196,1,4,4,4,4,1,4,5/1/19,820,3.14285714285714
Autistica - Organisational Culture,30,25718877,1,4,1,1,1,4,4,5/1/19,821,2.28571428571429
Autistica - Organisational Culture,30,97909632,2,1,1,4,4,4,4,5/1/19,822,2.85714285714286
Autistica - Organisational Culture,30,40268226,1,4,1,1,1,4,1,5/1/19,823,1.85714285714286
Autistica - Organisational Culture,30,63985686,2,4,4,4,4,4,1,5/1/19,824,3.28571428571429
Autistica - Organisational Culture,30,63237915,1,4,1,4,4,4,4,5/1/19,825,3.14285714285714
Autistica - Organisational Culture,30,50544037,4,1,4,1,1,4,1,5/1/19,826,2.28571428571429
Autistica - Organisational Culture,30,14286843,1,4,4,4,4,1,1,5/1/19,827,2.71428571428571
Autistica - Organisational Culture,30,53175760,2,4,1,1,1,1,4,5/1/19,828,2
Autistica - Organisational Culture,30,56361261,2,4,4,4,1,4,4,5/1/19,829,3.28571428571429
Autistica - Organisational Culture,30,66411825,2,4,1,4,1,1,1,5/1/19,830,2
Autistica - Organisational Culture,30,34060153,2,1,1,4,1,1,1,5/1/19,831,1.57142857142857
Autistica - Organisational Culture,30,11168511,1,4,4,1,4,1,1,5/1/19,832,2.28571428571429
Autistica - Organisational Culture,30,85920205,4,4,1,4,4,4,4,5/1/19,833,3.57142857142857
Autistica - Organisational Culture,30,83766303,2,1,4,1,4,1,1,5/1/19,834,2
Autistica - Organisational Culture,30,64793738,1,4,1,1,1,1,4,5/1/19,835,1.85714285714286
Autistica - Organisational Culture,30,59096037,1,1,1,4,1,1,1,5/1/19,836,1.42857142857143
Autistica - Organisational Culture,30,77773077,1,1,4,1,4,4,1,5/1/19,837,2.28571428571429
Autistica - Organisational Culture,30,47375033,4,4,1,4,4,4,4,5/1/19,838,3.57142857142857
Autistica - Organisational Culture,30,39847852,1,4,1,1,4,4,4,5/1/19,839,2.71428571428571
Autistica - Organisational Culture,30,68971632,1,4,4,1,1,1,1,5/1/19,840,1.85714285714286
Autistica - Organisational Culture,30,22090963,1,1,1,1,4,1,4,5/1/19,841,1.85714285714286
Autistica - Organisational Culture,30,60377624,1,4,1,4,4,4,4,5/1/19,842,3.14285714285714
Autistica - Organisational Culture,30,30738880,2,1,1,4,1,4,4,5/1/19,843,2.42857142857143
Autistica - Organisational Culture,30,86589369,4,1,4,1,4,1,1,5/1/19,844,2.28571428571429
Autistica - Organisational Culture,30,66155821,1,4,1,4,4,4,4,5/1/19,845,3.14285714285714
Autistica - Organisational Culture,30,61677296,1,1,1,1,1,1,4,5/1/19,846,1.42857142857143
Autistica - Organisational Culture,30,56419454,2,4,1,4,1,4,1,5/1/19,847,2.42857142857143
Autistica - Organisational Culture,30,86397034,1,1,1,1,1,1,1,5/1/19,848,1
Autistica - Organisational Culture,30,41455969,4,1,1,4,4,4,4,5/1/19,849,3.14285714285714
Autistica - Organisational Culture,30,23394144,2,1,1,1,1,4,4,5/1/19,850,2
Autistica - Organisational Culture,30,21326904,1,4,1,4,4,1,1,5/1/19,851,2.28571428571429
