FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID,Learning,Problemsolving,Pressure,Roleexpectations,Teamwork,Sensitivity,Workpolitics
Autistica - Work: Self Confidence,120,43522829,2,3,3,2,2,2,3,2,3,2,3,3,3,3,3,2,3,3,3,2,2,3,2,2,3,2,3,2,3,2,2/14/19,494,2.25,2.5,2.25,2.5,2.75,2.75,2.75
Autistica - Work: Self Confidence,120,41811454,3,3,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2,3,3,2,3,3,2,2,2,2,2,2,3,3,2/14/19,495,2.25,2.333333333,2,2.5,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,40690745,2,3,3,3,3,2,2,2,2,3,2,2,3,2,3,3,2,2,3,2,3,2,3,3,3,2,3,3,3,3,2/14/19,496,2.75,2.666666667,2.25,2.5,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,25057429,3,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3,2,2,3,2,3,3,2,2,3,2,2,3,2,3,2/14/19,497,2.5,2.333333333,2.5,2.75,3,2.25,2.5
Autistica - Work: Self Confidence,120,39249976,3,2,2,3,2,3,2,2,2,2,3,3,3,3,2,2,3,2,3,2,3,2,2,3,3,2,3,3,3,2,2/14/19,498,2.25,2.333333333,2.75,2.5,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,63410382,3,2,2,3,3,2,3,2,2,2,3,3,2,3,2,3,3,2,2,2,3,3,3,3,2,2,2,3,3,2,2/14/19,499,2.5,2.666666667,2.5,2.5,2.25,2.25,2.75
Autistica - Work: Self Confidence,120,61657100,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,3,3,3,3,2,3,2/14/19,500,2.25,2.333333333,2.75,2.75,2.25,2.5,2
Autistica - Work: Self Confidence,120,22222222,2,2,2,3,2,3,3,3,2,3,3,3,2,2,3,3,2,3,3,2,2,2,3,3,3,3,2,3,3,3,30/02/2019,501,2.5,2.666666667,2.75,2,2.5,2.75,3
Autistica - Work: Self Confidence,120,11111111,2,3,3,3,2,3,3,2,3,2,2,3,2,2,2,3,3,2,2,3,3,3,2,3,2,3,2,3,2,3,30/02/2019,502,2.25,2.666666667,2.75,2.75,2.25,2.25,2.75
Autistica - Work: Self Confidence,120,12077101,2,3,2,3,3,3,2,3,3,3,2,2,2,2,3,3,2,2,2,3,3,2,3,2,2,2,2,3,2,3,30/02/2019,503,2.5,2.5,2.75,2.5,2.5,2.25,2.25
Autistica - Work: Self Confidence,120,38961843,2,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,3,2,3,3,2,30/02/2019,504,3,2.333333333,3,2.5,2.5,2.5,3
Autistica - Work: Self Confidence,120,67611589,5,3,3,2,2,3,2,2,3,2,2,2,2,3,2,3,2,2,3,3,2,3,3,2,2,2,3,3,3,2,30/02/2019,505,2.25,2.333333333,2.75,3.25,2.5,2.5,2.25
Autistica - Work: Self Confidence,120,32500162,3,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,3,3,3,2,2,30/02/2019,506,2.5,2.333333333,2.25,2.5,2,2.25,2.25
Autistica - Work: Self Confidence,120,90705766,2,3,3,2,3,3,2,2,2,3,3,3,2,3,2,2,2,2,3,3,2,3,2,3,3,3,2,2,3,3,30/02/2019,507,2.5,2.5,2.75,2.25,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,46465154,1,2,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,3,30/02/2019,508,2.25,2.5,2.5,2.25,2.75,2.25,2.75
Autistica - Work: Self Confidence,120,36480781,2,2,2,3,2,2,3,3,3,2,2,3,3,3,2,2,3,3,3,2,2,2,3,3,3,2,3,3,2,3,30/02/2019,509,2.5,2.333333333,2.25,2.25,2.75,2.75,3
Autistica - Work: Self Confidence,120,86004302,2,2,3,2,3,2,2,2,3,2,2,3,3,2,3,3,3,3,2,2,2,3,2,2,2,3,2,2,2,2,30/02/2019,510,2.75,2.666666667,2,2.5,2,2.25,2.25
Autistica - Work: Self Confidence,120,74046800,5,2,2,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,2,2,3,3,3,30/02/2019,511,2.25,2.833333333,2.25,3,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,67512682,2,3,2,2,2,3,3,3,3,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,30/02/2019,512,2.5,2.5,2.75,2.5,3,2.25,2.5
Autistica - Work: Self Confidence,120,87436666,1,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,3,2,30/02/2019,513,2.75,2.333333333,2.25,2,2.25,2.25,2.75
Autistica - Work: Self Confidence,120,28755653,5,3,3,2,2,3,3,2,3,3,2,3,2,3,3,3,3,2,3,2,2,2,3,3,2,3,3,3,3,3,30/02/2019,514,2.5,2.833333333,2.5,3.25,2.5,2.75,2.75
Autistica - Work: Self Confidence,120,66722819,2,3,3,2,2,2,2,3,2,2,3,3,3,2,2,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,30/02/2019,515,2.75,2.666666667,2.25,2.5,2.5,3,2.5
Autistica - Work: Self Confidence,120,65438804,2,2,3,2,2,2,3,3,2,2,3,2,3,2,2,3,3,2,2,3,3,2,2,3,2,3,2,2,3,2,30/02/2019,516,2.5,2.5,2.5,2.5,2.25,2.25,2.25
Autistica - Work: Self Confidence,120,15938146,1,2,2,3,2,3,3,3,2,3,3,2,3,2,2,3,3,3,3,2,2,3,2,2,3,2,2,2,2,3,30/02/2019,517,2.25,2.666666667,2.5,1.75,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,37603401,2,3,3,3,3,2,3,3,3,2,3,3,2,2,3,2,2,3,2,2,3,3,2,3,3,3,2,2,2,2,30/02/2019,518,2.5,2.5,2.25,2.75,2.75,2.25,2.75
Autistica - Work: Self Confidence,120,23337145,5,3,3,3,3,3,2,2,3,2,3,2,3,3,3,2,2,3,2,3,2,2,3,3,3,3,3,2,2,3,30/02/2019,519,3,2.333333333,2.75,3.25,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,99599196,2,2,2,2,2,3,2,2,3,3,3,2,2,2,2,2,3,3,3,3,2,2,3,3,2,3,2,2,2,3,30/02/2019,520,2.5,2.5,2.75,2.25,2,2.5,2.25
Autistica - Work: Self Confidence,120,25718877,1,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,2,2,3,2,3,2,2,3,3,2,3,3,3,3,30/02/2019,521,2.25,2.666666667,2.5,2.25,2.75,2.75,3
Autistica - Work: Self Confidence,120,97909632,2,2,2,2,3,3,3,2,3,3,3,3,2,2,3,3,3,3,2,2,3,2,3,3,3,2,3,2,2,3,30/02/2019,522,2.5,2.833333333,2.5,2.5,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,40268226,5,3,2,3,3,2,2,3,3,2,3,2,3,3,3,2,3,3,2,2,3,3,3,3,2,3,2,2,3,2,30/02/2019,523,3,2.666666667,2.25,3.25,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,63985686,5,3,3,2,3,2,3,3,2,3,3,2,2,3,3,2,3,2,2,3,3,3,2,3,2,2,3,2,2,3,30/02/2019,524,2.25,2.833333333,2.5,3.25,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,63237915,1,3,3,3,3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,30/02/2019,525,2.75,2.666666667,2,2,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,50544037,3,3,2,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,3,2,2,30/02/2019,526,2.5,2.5,2.75,2.5,2.5,2.25,2.25
Autistica - Work: Self Confidence,120,14286843,3,3,3,2,3,2,2,2,2,3,2,3,3,2,2,2,3,2,3,3,2,3,2,2,2,2,2,2,3,3,30/02/2019,527,2.5,2.5,2.25,2.5,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,53175760,1,2,3,3,3,2,2,3,2,2,3,3,3,2,3,3,2,2,2,2,2,3,2,2,3,3,2,2,2,2,30/02/2019,528,2.75,2.5,2.25,2,2.5,2,2.5
Autistica - Work: Self Confidence,120,56361261,3,3,2,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,2,30/02/2019,529,2.5,3,2.75,2.75,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,66411825,1,2,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,3,2,2,3,2,2,2,3,3,2,2,2,30/02/2019,530,2.5,2.333333333,2.25,1.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,34060153,3,2,2,3,3,2,3,2,2,2,3,2,3,3,2,2,3,2,3,3,3,3,3,3,2,2,3,3,3,3,30/02/2019,531,2.75,2.5,2.75,2.5,2.25,2.75,2.75
Autistica - Work: Self Confidence,120,11168511,2,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,2,3,2,2,3,2,2,2,3,3,3,3,3,3,30/02/2019,532,2.5,2.5,2.75,2.5,2.75,3,2.5
Autistica - Work: Self Confidence,120,85920205,3,2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,2,2,3,30/02/2019,533,2.5,2.5,2.25,2.75,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,83766303,5,3,3,2,2,2,3,3,2,3,2,2,2,3,3,2,2,3,3,2,3,2,3,3,2,3,2,2,3,2,30/02/2019,534,2.5,2.5,2,3.25,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,64793738,1,2,3,3,3,2,3,2,3,3,2,3,2,2,3,2,3,2,3,2,2,3,3,2,3,2,3,3,2,3,30/02/2019,535,2.5,2.666666667,2.25,2.25,2.25,2.5,3
Autistica - Work: Self Confidence,120,59096037,5,3,2,3,3,2,2,2,2,3,3,2,3,3,3,3,2,3,3,2,3,3,2,2,3,2,2,3,3,3,30/02/2019,536,2.5,2.666666667,2.5,3,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,77773077,5,2,2,3,3,2,2,2,3,3,2,2,3,2,3,3,2,3,3,2,2,2,2,3,2,2,2,2,2,3,30/02/2019,537,2.5,2.666666667,2,3,2,2.5,2.5
Autistica - Work: Self Confidence,120,47375033,1,3,3,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,3,2,3,2,3,2,2,3,3,2,2,3,30/02/2019,538,2.5,2,2,2.5,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,39847852,3,3,2,2,3,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,2,30/02/2019,539,3,2.666666667,2.5,2.5,3,2.5,2.5
Autistica - Work: Self Confidence,120,68971632,1,2,3,2,2,3,2,2,3,2,3,2,2,3,3,3,3,2,2,2,2,2,3,2,2,2,3,2,2,3,30/02/2019,540,2.25,2.5,2.5,2.25,2.25,2.5,2
Autistica - Work: Self Confidence,120,22090963,2,2,2,3,3,3,2,2,2,2,2,3,3,2,2,2,3,3,3,2,3,2,2,2,2,3,3,3,2,2,30/02/2019,541,2.75,2.166666667,2.5,2.25,2,2.5,2.75
Autistica - Work: Self Confidence,120,60377624,5,2,3,2,2,2,2,2,3,2,2,3,2,3,3,3,2,2,2,3,2,3,3,3,2,2,3,2,2,3,30/02/2019,542,2.25,2.666666667,2.25,3.25,2.25,2.5,2.25
Autistica - Work: Self Confidence,120,30738880,3,3,2,3,3,3,2,3,3,2,3,3,3,2,2,3,2,3,2,2,3,3,2,2,3,3,2,2,3,3,30/02/2019,543,2.75,2.333333333,2.5,2.75,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,86589369,2,2,2,3,3,2,3,3,2,2,3,3,2,3,3,2,3,3,2,3,3,3,3,2,2,2,3,3,3,3,30/02/2019,544,2.5,2.5,2.75,2.25,2.5,3,2.75
Autistica - Work: Self Confidence,120,66155821,3,3,3,3,3,2,3,2,3,3,3,3,2,2,3,3,2,2,3,3,3,2,2,3,2,2,2,2,2,2,30/02/2019,545,2.25,2.666666667,2.5,3,2.25,2,3
Autistica - Work: Self Confidence,120,61677296,5,2,2,3,2,2,2,3,3,3,3,2,3,3,3,2,3,2,2,3,2,3,3,3,3,3,2,3,3,2,30/02/2019,546,2.75,2.833333333,2.75,3,2.75,2.25,2.25
Autistica - Work: Self Confidence,120,56419454,3,3,3,2,3,3,3,2,3,2,2,3,2,2,3,3,3,2,3,3,3,2,3,2,3,3,3,2,3,3,30/02/2019,547,2.75,2.5,2.5,3,2.5,2.75,2.75
Autistica - Work: Self Confidence,120,86397034,5,3,2,3,3,2,3,2,3,2,3,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,3,2,30/02/2019,548,2.25,2.333333333,2.5,3,2.25,2.25,2.75
Autistica - Work: Self Confidence,120,41455969,2,2,3,3,2,3,3,2,2,2,3,2,3,3,3,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,30/02/2019,549,2.5,2.333333333,2.75,2.5,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,23394144,3,2,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,2,3,2,2,2,2,3,3,30/02/2019,550,2.5,2.333333333,2.25,2.5,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,21326904,2,3,3,3,3,2,2,3,3,3,2,3,3,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,3,30/02/2019,551,2.75,2.166666667,2.25,2.75,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,44980497,5,2,3,2,3,2,3,3,3,2,3,2,2,3,2,2,2,3,3,2,3,3,3,3,2,3,3,3,3,2,30/02/2019,552,2.75,2.333333333,2.5,3.5,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,38982647,5,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,3,3,3,2,3,2,2,3,2,2,3,3,30/02/2019,553,2.5,2.333333333,2.25,3.25,2.5,2.5,2.25
Autistica - Work: Self Confidence,120,80484260,3,2,2,3,3,3,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,30/02/2019,554,2.5,2.333333333,2.25,2.25,2.5,2,2.25
Autistica - Work: Self Confidence,120,24052776,5,2,2,2,3,2,2,3,3,2,2,3,3,3,2,3,3,2,2,3,2,2,3,2,3,3,3,2,3,3,30/02/2019,555,3,2.333333333,2.25,3,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,70538701,2,3,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,30/02/2019,556,2.5,2.5,2.75,2.5,2.75,2.75,2.75
Autistica - Work: Self Confidence,120,89804580,3,2,2,3,2,3,3,3,2,3,3,3,3,3,2,2,3,3,2,2,3,3,3,2,3,2,3,2,2,3,30/02/2019,557,2.5,2.5,2.5,2.5,2.75,2.75,2.75
Autistica - Work: Self Confidence,120,17191527,2,3,2,3,3,2,3,2,3,3,3,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,3,3,2,3,30/02/2019,558,2.25,2.5,2.5,2.25,2.25,2.5,2.75
Autistica - Work: Self Confidence,120,12248148,1,3,2,2,2,2,3,3,3,2,2,3,3,2,2,3,3,2,2,2,3,2,3,3,3,2,3,3,2,2,30/02/2019,559,2.5,2.5,2.25,2.25,2.75,2.25,2.5
Autistica - Work: Self Confidence,120,14567809,3,3,2,3,3,2,3,2,2,3,3,2,3,2,2,3,2,3,2,2,3,3,3,2,3,3,3,2,2,3,30/02/2019,560,3,2.5,2.25,2.5,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,53779464,5,2,3,2,3,3,3,3,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,30/02/2019,561,2.25,2.5,2.75,3,2.5,2,2.5
Autistica - Work: Self Confidence,120,97777931,3,3,2,3,2,3,2,2,3,2,2,2,3,2,2,2,2,3,3,2,3,2,3,3,2,2,2,2,2,2,30/02/2019,562,2.5,2.166666667,2.25,2.75,2.25,2.25,2.5
Autistica - Work: Self Confidence,120,99713717,1,2,3,2,2,3,3,3,2,2,2,2,3,3,2,2,3,3,2,2,2,3,2,3,3,3,2,3,2,3,30/02/2019,563,2.5,2.5,2.5,2,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,93466703,1,2,3,3,2,2,3,2,3,3,2,2,3,3,3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,3,30/02/2019,564,2.25,2.5,2,2.5,2.5,2.75,2.75
Autistica - Work: Self Confidence,120,37419497,2,2,3,3,3,3,3,2,2,2,3,3,3,3,2,2,2,2,3,3,3,2,2,2,2,3,3,2,2,2,30/02/2019,565,2.75,2,2.75,2.5,2.25,2.25,3
Autistica - Work: Self Confidence,120,35358065,5,2,2,2,2,2,3,3,2,3,2,2,3,3,2,2,2,2,3,2,2,3,3,2,2,3,2,3,2,3,30/02/2019,566,2.75,2.333333333,2.25,2.75,2.5,2.25,2.5
Autistica - Work: Self Confidence,120,86131995,1,3,3,2,2,3,2,3,2,2,3,2,2,2,3,2,2,3,2,3,3,2,2,3,3,3,2,3,3,2,30/02/2019,567,2.25,2.333333333,3,2.25,2.75,2.5,2
Autistica - Work: Self Confidence,120,57180656,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3,2,2,3,3,3,3,3,2,3,30/02/2019,568,2.75,2.166666667,2.75,2.75,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,62929404,1,2,2,2,3,3,2,2,2,2,2,3,3,3,2,2,3,3,3,3,2,3,3,3,2,3,3,3,3,2,30/02/2019,569,3,2.5,2.75,1.75,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,30901982,5,3,3,2,3,3,2,3,2,3,2,2,3,3,2,2,3,3,3,2,3,3,2,2,2,2,3,2,2,2,30/02/2019,570,2.5,2.5,2.25,3.25,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,93085379,2,3,2,2,3,3,2,2,2,3,3,2,2,3,3,3,3,2,3,3,2,2,3,3,3,2,3,2,3,2,30/02/2019,571,2.5,2.833333333,2.75,2,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,77431644,2,2,2,2,3,3,3,2,3,3,3,3,2,3,3,2,3,2,2,2,3,3,2,2,2,3,2,2,2,2,30/02/2019,572,2.5,2.666666667,2.5,2.5,2.25,2,2.5
Autistica - Work: Self Confidence,120,67013133,5,3,3,3,3,2,3,2,2,3,2,3,2,2,3,2,3,2,2,3,2,2,3,3,3,3,3,3,2,2,30/02/2019,573,2.75,2.666666667,2.5,3,2.5,2.25,2.75
Autistica - Work: Self Confidence,120,13838301,5,2,3,3,2,2,2,3,2,3,2,3,3,3,3,2,2,2,3,2,3,2,2,3,3,3,2,3,3,3,30/02/2019,574,2.5,2.5,2.25,3.25,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,66718298,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,3,2,3,3,2,2,3,3,2,3,30/02/2019,575,2.75,2.5,2.75,2.5,2.25,2.5,3
Autistica - Work: Self Confidence,120,24641611,1,2,3,2,2,3,2,3,3,3,3,3,3,3,2,2,2,3,3,2,3,3,2,3,3,2,2,2,3,3,30/02/2019,576,2.25,2.5,2.5,2.5,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,67388864,3,3,2,3,3,2,2,2,2,3,2,3,2,2,3,2,3,2,3,2,3,3,2,2,3,3,2,2,2,2,30/02/2019,577,2.5,2.666666667,2,2.5,2.5,2,2.75
Autistica - Work: Self Confidence,120,25055544,3,2,3,3,3,2,3,3,2,2,3,3,2,3,3,2,2,3,3,3,2,3,2,3,3,3,2,2,2,3,30/02/2019,578,2.5,2.5,2.5,2.5,2.75,2.5,3
Autistica - Work: Self Confidence,120,24503298,2,3,3,2,3,2,3,3,2,3,2,2,2,3,3,2,3,3,3,2,2,3,3,2,3,3,3,2,3,3,30/02/2019,579,2.75,2.666666667,2,2.25,3,3,2.5
Autistica - Work: Self Confidence,120,43928283,5,2,2,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,3,3,3,2,2,3,2,3,2,2,3,2,30/02/2019,580,2.5,2.5,2.25,3.25,2.25,2.25,2.5
Autistica - Work: Self Confidence,120,19630284,1,3,2,3,2,2,2,2,3,3,3,2,3,2,3,2,3,2,3,3,3,2,2,3,2,3,2,2,3,3,30/02/2019,581,2.5,2.666666667,2.5,2.25,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,87042105,1,3,2,3,2,2,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,30/02/2019,582,2.5,2.5,2.25,2,2.75,2.25,2.75
Autistica - Work: Self Confidence,120,71593024,5,2,2,3,2,3,3,2,3,2,2,3,3,2,2,3,2,3,3,2,3,2,2,2,2,2,3,3,2,2,30/02/2019,583,2.25,2.166666667,2.5,3.25,2,2.5,3
Autistica - Work: Self Confidence,120,31866214,5,3,3,3,2,2,2,3,2,3,2,2,3,2,3,3,2,3,3,3,2,2,2,3,2,3,2,2,3,3,30/02/2019,584,2.5,2.666666667,2.25,3,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,97162166,5,2,2,3,2,2,2,3,3,3,3,2,3,3,2,3,3,3,3,2,2,2,2,3,3,2,2,2,3,2,30/02/2019,585,2.25,2.666666667,2.25,3,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,41273901,1,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,2,2,3,3,3,3,30/02/2019,586,2.25,2.5,2.5,2.25,2.25,2.75,2
Autistica - Work: Self Confidence,120,43440948,1,3,3,3,3,3,2,2,2,2,3,2,3,3,3,2,2,2,3,2,2,3,3,3,2,3,3,3,3,3,30/02/2019,587,3,2.5,2.75,2,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,77705205,5,3,2,2,2,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,3,30/02/2019,588,2.5,2.166666667,2.25,3,2.75,2.25,2.5
Autistica - Work: Self Confidence,120,58358243,1,3,3,2,3,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,2,2,3,30/02/2019,589,2.75,2.833333333,2.75,2.25,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,47815963,5,2,3,2,2,3,2,2,2,3,3,2,3,2,3,3,2,2,3,2,3,2,2,3,2,2,2,3,3,2,30/02/2019,590,2.25,2.666666667,2.75,3.25,2,2.25,2.25
Autistica - Work: Self Confidence,120,69828639,1,3,3,2,3,2,2,3,2,3,3,2,2,3,2,3,2,3,2,2,2,2,2,3,2,3,2,2,2,3,30/02/2019,591,2.5,2.5,2.25,2,2.75,2.5,2
Autistica - Work: Self Confidence,120,38868666,5,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,3,3,3,3,3,3,2,30/02/2019,592,2.5,2.5,2.75,3.25,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,72888018,1,2,2,2,3,2,3,2,2,2,2,3,3,2,3,3,2,3,3,2,3,2,3,3,2,2,2,3,3,3,30/02/2019,593,2.75,2.5,2.25,2,2,2.75,2.75
Autistica - Work: Self Confidence,120,43522829,2,3,2,2,2,2,3,3,2,3,3,2,3,2,2,3,3,2,2,2,3,3,3,3,3,2,3,3,3,2,30/02/2019,594,2.5,2.833333333,2.5,2.25,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,41811454,2,3,2,3,2,2,3,3,3,2,2,3,3,2,3,3,2,3,2,3,2,2,3,3,2,2,3,3,3,3,30/02/2019,595,2.5,2.5,2.5,2.25,2.5,3,2.75
Autistica - Work: Self Confidence,120,40690745,5,3,2,3,3,2,3,3,2,3,2,2,3,2,2,2,2,2,2,3,2,3,3,3,2,3,3,2,3,2,30/02/2019,596,3,2.5,2.25,2.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,25057429,2,3,2,2,3,3,3,2,3,2,2,2,3,3,2,2,3,3,2,3,2,3,2,2,3,3,3,2,3,2,30/02/2019,597,2.75,2.333333333,2.5,2.25,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,39249976,1,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,2,3,3,2,2,3,3,3,3,2,3,3,2,2,30/02/2019,598,2.75,2.666666667,2.5,1.75,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,63410382,1,2,2,3,2,2,3,3,2,3,2,3,3,3,3,2,3,2,3,3,3,2,3,2,3,3,3,2,2,2,30/02/2019,599,2.75,2.5,2.25,2,2.75,2.25,3
Autistica - Work: Self Confidence,120,61657100,5,2,3,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,2,3,2,2,3,3,2,3,2,2,30/02/2019,600,2.25,2.166666667,2.75,3,2.5,2,2.25
Autistica - Work: Self Confidence,120,22222222,5,3,3,3,2,3,2,2,3,3,2,2,2,2,2,3,2,2,3,3,2,3,3,2,3,3,2,2,2,2,4/14/19,601,2.5,2.5,2.5,3.25,2.5,2,2.5
Autistica - Work: Self Confidence,120,11111111,1,3,2,3,2,2,2,2,2,3,2,3,3,2,3,2,3,3,2,2,2,3,3,2,2,2,2,3,3,2,4/14/19,602,2.5,2.666666667,2.25,1.75,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,12077101,2,3,3,2,2,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,3,2,2,3,3,3,2,2,4/14/19,603,2.5,2.5,2.5,2.25,2.5,2.5,2.25
Autistica - Work: Self Confidence,120,38961843,3,3,3,3,2,2,2,3,3,3,2,2,2,2,3,3,3,2,2,3,3,2,3,3,2,2,3,3,3,3,4/14/19,604,2.25,2.833333333,2.5,3,2.5,2.75,2.25
Autistica - Work: Self Confidence,120,67611589,1,3,2,2,2,3,2,2,2,3,2,2,3,2,3,3,2,2,2,2,3,2,2,2,2,3,3,2,2,3,4/14/19,605,2.5,2.5,2.25,2,2.25,2.5,2
Autistica - Work: Self Confidence,120,32500162,3,3,3,3,3,2,2,3,2,2,3,3,2,2,3,3,2,2,3,2,2,2,2,2,2,3,2,3,2,2,4/14/19,606,2.5,2.333333333,2.5,2.5,2.5,2,2.75
Autistica - Work: Self Confidence,120,90705766,5,3,2,3,2,2,2,3,3,3,2,3,3,3,3,3,3,2,2,3,2,2,2,3,2,2,2,3,2,3,4/14/19,607,2.25,2.833333333,2.5,3,2.75,2.25,2.5
Autistica - Work: Self Confidence,120,46465154,2,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,2,3,2,2,2,3,3,2,3,2,3,3,2,4/14/19,608,2.5,2.666666667,2.5,2.5,2.75,2.25,3
